Datetime,PM2.5,PM10,CO,NO2,SO2,O3,City,Year,Month,Day,AQI,AQI_Category
2025-01-01,38.3375,42.041666666666664,381.8333333333333,4.283333333333333,5.016666666666667,111.58333333333333,Chennai,2025,1,1,116.44123931623932,Moderate
2025-01-02,42.65416666666667,45.94166666666666,355.4166666666667,5.554166666666667,4.925,118.625,Chennai,2025,1,2,136.27083333333334,Moderate
2025-01-03,42.3125,45.75416666666666,343.7916666666667,5.145833333333333,7.5125,126.25,Chennai,2025,1,3,134.5625,Moderate
2025-01-04,36.02916666666667,43.07083333333333,349.625,6.266666666666667,5.295833333333333,117.58333333333333,Chennai,2025,1,4,105.05466524216524,Moderate
2025-01-05,34.458333333333336,41.170833333333334,340.8333333333333,6.825,3.7125,105.625,Chennai,2025,1,5,100.55288461538463,Moderate
2025-01-06,32.12916666666667,35.36666666666667,320.75,7.1625000000000005,3.8249999999999997,105.29166666666667,Chennai,2025,1,6,93.01103988603988,Satisfactory
2025-01-07,30.833333333333332,33.833333333333336,310.4583333333333,6.066666666666666,2.9791666666666665,102.5,Chennai,2025,1,7,90.24216524216524,Satisfactory
2025-01-08,34.44583333333333,36.8125,368.4583333333333,5.0625,4.958333333333333,120.41666666666667,Chennai,2025,1,8,103.17467948717949,Moderate
2025-01-09,41.25416666666667,44.80833333333334,331.4166666666667,5.070833333333334,6.133333333333333,138.83333333333334,Chennai,2025,1,9,130.20138888888889,Moderate
2025-01-10,36.5,41.395833333333336,348.625,4.833333333333333,3.404166666666667,114.54166666666667,Chennai,2025,1,10,109.30573361823362,Moderate
2025-01-11,23.670833333333334,29.829166666666666,280.5833333333333,3.408333333333333,2.4291666666666667,107.95833333333333,Chennai,2025,1,11,74.93767806267806,Satisfactory
2025-01-12,22.641666666666666,28.84583333333333,254.04166666666666,4.1875,2.1374999999999997,96.25,Chennai,2025,1,12,72.73860398860398,Satisfactory
2025-01-13,13.487499999999999,18.166666666666668,287.375,4.325,2.1083333333333334,101.5,Chennai,2025,1,13,52.34107905982906,Satisfactory
2025-01-14,14.549999999999999,19.7,282.0833333333333,3.5749999999999997,2.2375000000000003,103.125,Chennai,2025,1,14,55.44871794871795,Satisfactory
2025-01-15,20.804166666666667,25.733333333333334,276.875,2.908333333333333,2.6125000000000003,111.125,Chennai,2025,1,15,69.4923433048433,Satisfactory
2025-01-16,47.70416666666667,52.762499999999996,346.3333333333333,3.8625000000000003,4.570833333333334,129.875,Chennai,2025,1,16,157.06359649122808,Moderate
2025-01-17,56.65,60.79583333333333,349.875,3.9958333333333336,4.1000000000000005,128.54166666666666,Chennai,2025,1,17,198.48684210526315,Moderate
2025-01-18,29.558333333333334,34.31666666666667,255.20833333333334,3.4,2.4291666666666667,101.08333333333333,Chennai,2025,1,18,92.33760683760683,Satisfactory
2025-01-19,28.4375,33.233333333333334,310.7083333333333,3.1791666666666667,2.129166666666667,106.79166666666667,Chennai,2025,1,19,85.12286324786325,Satisfactory
2025-01-20,34.95,39.324999999999996,354.9583333333333,4.016666666666667,4.183333333333334,122.16666666666667,Chennai,2025,1,20,104.76495726495727,Moderate
2025-01-21,33.12083333333333,36.983333333333334,328.25,5.0874999999999995,4.754166666666666,122.29166666666667,Chennai,2025,1,21,97.39672364672366,Satisfactory
2025-01-22,31.320833333333336,35.72083333333333,316.0833333333333,5.541666666666667,3.608333333333333,109.16666666666667,Chennai,2025,1,22,94.32603276353278,Satisfactory
2025-01-23,19.108333333333334,24.041666666666668,222.79166666666666,7.0375000000000005,3.0875,87.91666666666667,Chennai,2025,1,23,65.18874643874643,Satisfactory
2025-01-24,21.933333333333334,26.6125,266.75,6.375,2.7291666666666665,89.125,Chennai,2025,1,24,71.22507122507123,Satisfactory
2025-01-25,27.983333333333334,32.49583333333333,277.4583333333333,6.483333333333333,2.7458333333333336,90.04166666666667,Chennai,2025,1,25,84.15242165242165,Satisfactory
2025-01-26,28.370833333333334,32.42916666666667,321.4166666666667,8.316666666666666,3.6958333333333333,87.0,Chennai,2025,1,26,84.9804131054131,Satisfactory
2025-01-27,38.82083333333333,41.72083333333333,350.0833333333333,7.6499999999999995,3.9583333333333335,104.375,Chennai,2025,1,27,117.45014245014245,Moderate
2025-01-28,51.98333333333333,54.56666666666666,371.25,7.7875000000000005,4.658333333333333,118.45833333333333,Chennai,2025,1,28,181.12390350877195,Moderate
2025-01-29,42.74583333333334,45.987500000000004,271.9583333333333,6.2625,3.1958333333333333,113.125,Chennai,2025,1,29,138.6141381766382,Moderate
2025-01-30,25.829166666666666,28.97083333333333,298.0833333333333,5.2124999999999995,3.8083333333333336,93.33333333333333,Chennai,2025,1,30,79.54950142450143,Satisfactory
2025-01-31,17.474999999999998,21.0125,283.5416666666667,6.2,4.166666666666667,71.375,Chennai,2025,1,31,61.69871794871795,Satisfactory
2025-02-01,14.008333333333333,17.233333333333334,262.125,6.9624999999999995,4.708333333333333,64.75,Chennai,2025,2,1,53.51317663817664,Satisfactory
2025-02-02,11.866666666666667,14.575000000000001,292.4166666666667,6.675,5.758333333333333,71.58333333333333,Chennai,2025,2,2,47.82051282051282,Good
